timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, power.draw [W]
2026/02/07 12:29:51.361, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.98 W
2026/02/07 12:29:52.361, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 59.17 W
2026/02/07 12:29:53.362, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.06 W
2026/02/07 12:29:54.362, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.84 W
2026/02/07 12:29:55.363, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.72 W
2026/02/07 12:29:56.363, NVIDIA GB10, 90 %, 0 %, [N/A], 76, 58.74 W
2026/02/07 12:29:57.363, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.66 W
2026/02/07 12:29:58.364, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.79 W
2026/02/07 12:29:59.364, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 58.67 W
2026/02/07 12:30:00.364, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.49 W
2026/02/07 12:30:01.365, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.18 W
2026/02/07 12:30:02.365, NVIDIA GB10, 91 %, 0 %, [N/A], 76, 58.71 W
2026/02/07 12:30:03.366, NVIDIA GB10, 91 %, 0 %, [N/A], 76, 58.62 W
2026/02/07 12:30:04.366, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.51 W
2026/02/07 12:30:05.366, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.62 W
2026/02/07 12:30:06.368, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 58.35 W
2026/02/07 12:30:07.369, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.63 W
2026/02/07 12:30:08.369, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 58.53 W
2026/02/07 12:30:09.369, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 58.47 W
2026/02/07 12:30:10.370, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 58.25 W
2026/02/07 12:30:11.370, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 58.30 W
2026/02/07 12:30:12.371, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 58.12 W
2026/02/07 12:30:13.371, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.00 W
2026/02/07 12:30:14.372, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 57.97 W
2026/02/07 12:30:15.372, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 61.66 W
2026/02/07 12:30:16.372, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.76 W
2026/02/07 12:30:17.373, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.69 W
2026/02/07 12:30:18.373, NVIDIA GB10, 90 %, 0 %, [N/A], 76, 58.66 W
2026/02/07 12:30:19.375, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.78 W
2026/02/07 12:30:20.379, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.68 W
2026/02/07 12:30:21.383, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.84 W
2026/02/07 12:30:22.385, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.13 W
2026/02/07 12:30:23.388, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.26 W
2026/02/07 12:30:24.392, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.31 W
2026/02/07 12:30:25.394, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.90 W
2026/02/07 12:30:26.397, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.95 W
2026/02/07 12:30:27.400, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.25 W
2026/02/07 12:30:28.402, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.02 W
2026/02/07 12:30:29.404, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.69 W
2026/02/07 12:30:30.407, NVIDIA GB10, 90 %, 0 %, [N/A], 76, 59.22 W
2026/02/07 12:30:31.409, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.13 W
